key,country,decimalLatitude,decimalLongitude,month,year,basisOfRecord,datasetName,kingdom,phylum,class,order,family,genus,species
1840923360,Brazil,-20.2475,-43.965278,1,2018,PRESERVED_SPECIMEN,BHCB - Herbário da Universidade Federal de Minas Gerais,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1587292625,Brazil,-19.4175,-43.271667,1,2017,PRESERVED_SPECIMEN,BHCB - Herbário da Universidade Federal de Minas Gerais,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1270105783,Brazil,-21.733467,-44.956528,1,2016,PRESERVED_SPECIMEN,HUSC - Herbário Unisanta,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1095856891,Brazil,0,0,1,2015,PRESERVED_SPECIMEN,HUEM - Herbário UEM,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1848244756,Brazil,-25.464722,-49.768889,3,2015,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1455400946,Brazil,-18.9425,-43.677222,6,2015,PRESERVED_SPECIMEN,BHCB - Herbário da Universidade Federal de Minas Gerais,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1252598807,Brazil,-20.440833,-43.576944,9,2015,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1252599402,Brazil,-19.256667,-43.563056,9,2015,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1252599383,Brazil,-19.233333,-43.516667,9,2015,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1291010280,Brazil,-18.217778,-43.594444,10,2015,PRESERVED_SPECIMEN,HUFU - Herbarium Uberlandense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1806849556,Brazil,-18.962833,-43.770583,12,2014,PRESERVED_SPECIMEN,SPF - Herbário da Universidade de São Paulo,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1423930635,Brazil,-18.962778,-43.770556,12,2014,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1087662108,Brazil,-20.446944,-43.893333,1,2013,PRESERVED_SPECIMEN,BHCB - Herbário da Universidade Federal de Minas Gerais,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1087660787,Brazil,-20.441111,-43.918889,1,2013,PRESERVED_SPECIMEN,BHCB - Herbário da Universidade Federal de Minas Gerais,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1090830638,Brazil,-15.846667,-48.771389,2,2013,PRESERVED_SPECIMEN,HUFU - Herbarium Uberlandense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1424446126,Brazil,-24.389444,-49.849167,2,2013,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1077505382,Brazil,0,0,2,2013,PRESERVED_SPECIMEN,HUCS - Herbário da Universidade de Caxias do Sul,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1094918590,Brazil,-24.389167,-49.849167,2,2013,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1090699661,Brazil,-18.432222,-43.466833,2,2013,PRESERVED_SPECIMEN,HRCB - Herbário Rioclarense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1424507869,Brazil,-15.816667,-48.666667,2,2013,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1077419865,Brazil,-24.389444,-49.849167,2,2013,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1324595558,Brazil,-24.3895,-49.849242,2,2013,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1275067455,Brazil,-15.832889,-48.673722,2,2013,PRESERVED_SPECIMEN,HUEG - Herbário da Universidade Estadual de Goiás,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1087183694,Brazil,,,4,2012,PRESERVED_SPECIMEN,BHZB - Herbário do Jardim Botânico da Fundação Zoo-Botânica de Belo Horizonte,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1090831588,Brazil,0,0,5,2012,PRESERVED_SPECIMEN,HUFU - Herbarium Uberlandense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1087183634,Brazil,-19.038611,-43.709722,5,2012,PRESERVED_SPECIMEN,BHZB - Herbário do Jardim Botânico da Fundação Zoo-Botânica de Belo Horizonte,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1087183553,Brazil,-19.046389,-43.708056,5,2012,PRESERVED_SPECIMEN,BHZB - Herbário do Jardim Botânico da Fundação Zoo-Botânica de Belo Horizonte,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1090831627,Brazil,0,0,5,2012,PRESERVED_SPECIMEN,HUFU - Herbarium Uberlandense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1087184941,Brazil,,,11,2012,PRESERVED_SPECIMEN,BHZB - Herbário do Jardim Botânico da Fundação Zoo-Botânica de Belo Horizonte,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1090831670,Brazil,0,0,11,2012,PRESERVED_SPECIMEN,HUFU - Herbarium Uberlandense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1087184828,Brazil,-19.038611,-43.709722,11,2012,PRESERVED_SPECIMEN,BHZB - Herbário do Jardim Botânico da Fundação Zoo-Botânica de Belo Horizonte,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1275067451,Brazil,-15.82525,-48.693444,12,2012,PRESERVED_SPECIMEN,HUEG - Herbário da Universidade Estadual de Goiás,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1424507868,Brazil,-15.816667,-48.683333,12,2012,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1089100936,Brazil,-20.487692,-46.519664,2,2011,PRESERVED_SPECIMEN,UEC - Herbário da Universidade Estadual de Campinas,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1090143336,Brazil,-21.446611,-44.66675,10,2011,PRESERVED_SPECIMEN,HUFSJ - Herbário da Universidade Federal de São João Del Rei,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1424417337,Brazil,-21.446667,-44.666667,10,2011,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1702650662,Brazil,-21.708417,-43.874417,1,2010,PRESERVED_SPECIMEN,SPF - Herbário da Universidade de São Paulo,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1211323536,Brazil,-15.902778,-48.013056,2,2010,PRESERVED_SPECIMEN,HEPH - Herbário Ezechias Paulo Heringer,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1087648446,Brazil,0,0,2,2010,PRESERVED_SPECIMEN,BHCB - Herbário da Universidade Federal de Minas Gerais,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1086913680,Brazil,-23.861944,-49.136944,2,2010,PRESERVED_SPECIMEN,SPSF - Herbário Dom Bento José Pickel,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1077420337,Brazil,-15.902778,-48.013056,2,2010,PRESERVED_SPECIMEN,FURB - Herbário Dr. Roberto Miguel Klein,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1077238995,Brazil,0,0,3,2010,PRESERVED_SPECIMEN,ALCB - Herbário Alexandre Leal Costa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1086915941,Brazil,,,3,2010,PRESERVED_SPECIMEN,SPSF - Herbário Dom Bento José Pickel,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1213658497,Brazil,0,0,3,2010,PRESERVED_SPECIMEN,UB - Herbário da Universidade de Brasília,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1077503669,Brazil,0,0,3,2010,PRESERVED_SPECIMEN,HUCS - Herbário da Universidade de Caxias do Sul,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1265933459,Brazil,,,3,2010,PRESERVED_SPECIMEN,HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1424364653,Brazil,,,3,2010,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1094891635,Brazil,,,3,2010,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1087651664,Brazil,-20.038486,-44.277778,5,2010,PRESERVED_SPECIMEN,BHCB - Herbário da Universidade Federal de Minas Gerais,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1702650684,Brazil,-18.944,-43.681667,2,2009,PRESERVED_SPECIMEN,SPF - Herbário da Universidade de São Paulo,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1090821078,Brazil,0,0,9,2009,PRESERVED_SPECIMEN,HUFU - Herbarium Uberlandense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1424309793,Brazil,-19.059722,-43.758889,11,2009,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1424308994,Brazil,-19.0475,-43.736944,11,2009,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1424418581,Brazil,,,11,2009,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1090629800,Brazil,-19.005989,-43.75897,11,2009,PRESERVED_SPECIMEN,SPF - Herbário da Universidade de São Paulo,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1090629772,Brazil,-19.006136,-43.75884,11,2009,PRESERVED_SPECIMEN,SPF - Herbário da Universidade de São Paulo,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1094857175,Brazil,-19.206944,-43.499722,1,2008,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1087477339,Brazil,0,0,2,2008,PRESERVED_SPECIMEN,"OUPR - Herbário ""Professor José Badini""",Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1087477484,Brazil,0,0,3,2008,PRESERVED_SPECIMEN,"OUPR - Herbário ""Professor José Badini""",Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1829094363,Brazil,-22.05,-44.666667,3,2008,PRESERVED_SPECIMEN,UFG - Herbário da Universidade Federal de Goiás,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1087641685,Brazil,-22.05,-44.666667,3,2008,PRESERVED_SPECIMEN,BHCB - Herbário da Universidade Federal de Minas Gerais,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1087478372,Brazil,0,0,10,2008,PRESERVED_SPECIMEN,"OUPR - Herbário ""Professor José Badini""",Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1087642330,Brazil,-20.272778,-43.960278,1,2007,PRESERVED_SPECIMEN,BHCB - Herbário da Universidade Federal de Minas Gerais,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1087641300,Brazil,-20.301944,-43.9325,1,2007,PRESERVED_SPECIMEN,BHCB - Herbário da Universidade Federal de Minas Gerais,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1702650535,Brazil,0,0,1,2007,PRESERVED_SPECIMEN,SPF - Herbário da Universidade de São Paulo,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1424267291,Brazil,,,1,2007,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1208834590,Brazil,0,0,1,2007,PRESERVED_SPECIMEN,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas",Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1098033616,Brazil,-21.846341742694175,-43.79330739597075,1,2007,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1094835106,Brazil,-15.5875,-48.053611,1,2007,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1090843597,Brazil,0,0,1,2007,PRESERVED_SPECIMEN,VIC - Herbário da Universidade Federal de Viçosa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1097773730,Brazil,-21.704555,-43.887946,1,2007,PRESERVED_SPECIMEN,Vascular plants,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1424267081,Brazil,,,1,2007,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1094868222,Brazil,,,1,2007,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1095240692,Brazil,-15.5875,-48.053611,1,2007,PRESERVED_SPECIMEN,CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1095330241,Brazil,0,0,1,2007,PRESERVED_SPECIMEN,ICN - Herbário do Instituto de Ciências Naturais,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1095260356,Brazil,,,2,2007,PRESERVED_SPECIMEN,CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1424486802,Brazil,,,2,2007,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1265491092,Brazil,,,2,2007,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1135918995,Brazil,-19.006111,-43.755556,2,2007,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1213654203,Brazil,0,0,2,2007,PRESERVED_SPECIMEN,UB - Herbário da Universidade de Brasília,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1702650398,Brazil,-19.006111,-43.755556,2,2007,PRESERVED_SPECIMEN,SPF - Herbário da Universidade de São Paulo,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1095616113,Brazil,0,0,2,2007,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1135918814,Brazil,-19.006111,-43.755556,2,2007,PRESERVED_SPECIMEN,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1265490951,Brazil,,,2,2007,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1424263189,Brazil,-19.006111,-43.755556,2,2007,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1087640949,Brazil,-19.006111,-43.755556,2,2007,PRESERVED_SPECIMEN,BHCB - Herbário da Universidade Federal de Minas Gerais,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1095258115,Brazil,-15.903333,-48.010277,3,2007,PRESERVED_SPECIMEN,CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1095616804,Brazil,0,0,3,2007,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1087640411,Brazil,-20.248611,-43.586944,10,2007,PRESERVED_SPECIMEN,BHCB - Herbário da Universidade Federal de Minas Gerais,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1090815462,Brazil,0,0,10,2007,PRESERVED_SPECIMEN,HUFU - Herbarium Uberlandense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1090843588,Brazil,0,0,1,2006,PRESERVED_SPECIMEN,VIC - Herbário da Universidade Federal de Viçosa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1095250011,Brazil,,,1,2006,PRESERVED_SPECIMEN,CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1087180624,Brazil,-20.399167,-43.890833,1,2006,PRESERVED_SPECIMEN,BHZB - Herbário do Jardim Botânico da Fundação Zoo-Botânica de Belo Horizonte,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1095249994,Brazil,,,1,2006,PRESERVED_SPECIMEN,CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1090696556,Brazil,-24.268333,-49.205278,2,2006,PRESERVED_SPECIMEN,HRCB - Herbário Rioclarense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1086665897,Brazil,,,3,2006,PRESERVED_SPECIMEN,UPCB - Herbário do Departamento de Botânica,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1702650212,Brazil,0,0,3,2006,PRESERVED_SPECIMEN,SPF - Herbário da Universidade de São Paulo,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1094921296,Brazil,,,9,2006,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1424481619,Brazil,-15.904167,-48.015,9,2006,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1090807322,Brazil,0,0,2,2005,PRESERVED_SPECIMEN,HUFU - Herbarium Uberlandense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1086953382,Brazil,0,0,2,2005,PRESERVED_SPECIMEN,FUEL - Herbário da Universidade Estadual de Londrina,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1208834565,Brazil,0,0,2,2005,PRESERVED_SPECIMEN,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas",Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1094858243,Brazil,,,2,2005,PRESERVED_SPECIMEN,HUEFS - Herbario da Universidade Estadual de Feira de Santana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1423839190,Brazil,0,0,3,2005,PRESERVED_SPECIMEN,UEC - Herbário da Universidade Estadual de Campinas,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1087180717,Brazil,-20.443611,-43.863611,8,2005,PRESERVED_SPECIMEN,BHZB - Herbário do Jardim Botânico da Fundação Zoo-Botânica de Belo Horizonte,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1090843581,Brazil,0,0,9,2005,PRESERVED_SPECIMEN,VIC - Herbário da Universidade Federal de Viçosa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1702650043,Brazil,-18.431389,-43.678056,1,2004,PRESERVED_SPECIMEN,SPF - Herbário da Universidade de São Paulo,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1213545010,Brazil,-15.883333,-48.016667,1,2004,PRESERVED_SPECIMEN,UB - Herbário da Universidade de Brasília,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1702649947,Brazil,-18.859444,-43.7575,1,2004,PRESERVED_SPECIMEN,SPF - Herbário da Universidade de São Paulo,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1213545882,Brazil,-14.072694,-47.56,2,2004,PRESERVED_SPECIMEN,UB - Herbário da Universidade de Brasília,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1424274305,Brazil,-21.709167,-43.896111,2,2004,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1213545868,Brazil,-14.072694,-47.56,2,2004,PRESERVED_SPECIMEN,UB - Herbário da Universidade de Brasília,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1265491009,Brazil,,,2,2004,PRESERVED_SPECIMEN,,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1213545875,Brazil,-14.072694,-47.56,3,2004,PRESERVED_SPECIMEN,UB - Herbário da Universidade de Brasília,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1087476884,Brazil,-20.457625,-43.625,4,2004,PRESERVED_SPECIMEN,"OUPR - Herbário ""Professor José Badini""",Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1077280494,Brazil,0,0,12,2004,PRESERVED_SPECIMEN,CESJ - Herbário Leopoldo Krieger,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1090612001,Brazil,,,1,2003,PRESERVED_SPECIMEN,MPUC - Herbário do Museu da Pontifícia Universidade Católica do Rio Grande do Sul,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1090808672,Brazil,-20.489167,-43.691944,1,2003,PRESERVED_SPECIMEN,HUFU - Herbarium Uberlandense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1090848065,Brazil,-20.489222,-43.691889,1,2003,PRESERVED_SPECIMEN,VIC - Herbário da Universidade Federal de Viçosa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1095224820,Brazil,-21.29806,-44.71389,1,2003,PRESERVED_SPECIMEN,CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1424160379,Brazil,,,2,2003,PRESERVED_SPECIMEN,RB - Rio de Janeiro Botanical Garden Herbarium Collection,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1095608710,Brazil,0,0,2,2003,PRESERVED_SPECIMEN,MBM - Herbário do Museu Botânico Municipal,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1077278773,Brazil,0,0,11,2003,PRESERVED_SPECIMEN,CESJ - Herbário Leopoldo Krieger,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1090801750,Brazil,0,0,11,2003,PRESERVED_SPECIMEN,HUFU - Herbarium Uberlandense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1090807367,Brazil,0,0,12,2003,PRESERVED_SPECIMEN,HUFU - Herbarium Uberlandense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1090793069,Brazil,0,0,4,2002,PRESERVED_SPECIMEN,HUFU - Herbarium Uberlandense,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
1090848079,Brazil,0,0,6,2002,PRESERVED_SPECIMEN,VIC - Herbário da Universidade Federal de Viçosa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Richterago,Richterago radiata
